Name,Assign,Status
Card 1,,
Card 2,,
Card 3,,
Kein Nörgeln,,In progress
Kein Kritisieren,,Not started
Nicht Fordern,,Not started
Kein Vergleichen,,Not started
Kein Leugner,,Not started
Keine Kontrollsucht,,In progress
Kein Opfer,,In progress
